CATAID,FILENAMENATIVE,FILENAMEINVERT,TELESCOPE,SURVEY,RA,DEC,PETRORADARCSEC,PETRORADKPC,PETROAPPMAG,PETROABSMAG
261624,G261624-native-424.png,G261624-invert-424.png,VST 2.6m,GAMA-KiDS,215.31611254,2.45757334,8.44126272,16.4825668974888,18.8849182128906,-19.5805442957328
261629,G261629-native-424.png,G261629-invert-424.png,VST 2.6m,GAMA-KiDS,215.29872202,2.38447564,11.30871456,22.0635163405801,18.7346687316895,-19.7286234585533
261632,G261632-native-424.png,G261632-invert-424.png,VST 2.6m,GAMA-KiDS,215.265071,2.53297507,9.30937392,18.2136683860143,19.7083320617676,-18.7623728148617
261642,G261642-native-424.png,G261642-invert-424.png,VST 2.6m,GAMA-KiDS,215.39544132,2.48502691,6.37905114,9.21943700102836,18.2766571044922,-19.4143057568275
261644,G261644-native-424.png,G261644-invert-424.png,VST 2.6m,GAMA-KiDS,215.48175011,2.54090886,11.89580832,27.3547898445138,18.3023300170898,-20.6043257922327
261645,G261645-native-424.png,G261645-invert-424.png,VST 2.6m,GAMA-KiDS,215.48447174,2.5295459,8.99613792,12.0427921822113,18.8148307800293,-18.6849520575786
261643,G261643-native-424.png,G261643-invert-424.png,VST 2.6m,GAMA-KiDS,215.44448831,2.40406773,6.16761684,12.4338004999043,19.1287002563477,-19.4216248473769
261655,G261655-native-424.png,G261655-invert-424.png,VST 2.6m,GAMA-KiDS,215.47001023,2.49488249,9.74790432,22.6088388857053,19.4536056518555,-19.4766920501512
261660,G261660-native-424.png,G261660-invert-424.png,VST 2.6m,GAMA-KiDS,215.42056254,2.55127229,15.1069248,21.2389129466679,18.7118625640869,-18.9099594219308
261670,G261670-native-424.png,G261670-invert-424.png,VST 2.6m,GAMA-KiDS,215.56964237,2.50898674,9.95553504,22.8639628365668,18.0332527160645,-20.8699031962698
261671,G261671-native-424.png,G261671-invert-424.png,VST 2.6m,GAMA-KiDS,215.5824512,2.4397828,12.0282624,12.6952021325764,16.3034896850586,-20.6152974144099
261673,G261673-native-424.png,G261673-invert-424.png,VST 2.6m,GAMA-KiDS,215.63810276,2.52671496,24.13774242,26.0595766671326,16.1520709991455,-20.8213608795022
261686,G261686-native-424.png,G261686-invert-424.png,VST 2.6m,GAMA-KiDS,215.55710129,2.44542105,26.23083012,27.747552100222,18.42897605896,-18.4952279417814
261694,G261694-native-424.png,G261694-invert-424.png,VST 2.6m,GAMA-KiDS,215.6952057,2.40215093,7.8040512,11.4130426902513,19.2321147918701,-18.4885303115823
261696,G261696-native-424.png,G261696-invert-424.png,VST 2.6m,GAMA-KiDS,215.7711329,2.55965691,12.88026432,29.1699910220563,18.2212543487549,-20.6434927730033
261697,G261697-native-424.png,G261697-invert-424.png,VST 2.6m,GAMA-KiDS,215.77389728,2.50363139,11.3570424,12.6538941909095,16.9648284912109,-20.0848930231823
261714,G261714-native-424.png,G261714-invert-424.png,VST 2.6m,GAMA-KiDS,215.78391576,2.49701886,15.95221452,8.29377882313455,19.6727848052979,-15.5897859679876
261718,G261718-native-424.png,G261718-invert-424.png,VST 2.6m,GAMA-KiDS,215.81597867,2.52753387,22.6234701,25.194218435791,15.7287893295288,-21.3197190828935
261720,G261720-native-424.png,G261720-invert-424.png,VST 2.6m,GAMA-KiDS,215.8315728,2.39391783,20.67670836,22.5733282740294,15.7082481384277,-21.2921475759856
261721,G261721-native-424.png,G261721-invert-424.png,VST 2.6m,GAMA-KiDS,215.84901297,2.56447429,9.36105786,10.2738621575871,17.4913578033447,-19.521823741844
261719,G261719-native-424.png,G261719-invert-424.png,VST 2.6m,GAMA-KiDS,215.83216404,2.54158553,14.70777264,16.3310833818976,17.6608848571777,-19.3805144051834
261722,G261722-native-424.png,G261722-invert-424.png,VST 2.6m,GAMA-KiDS,215.86811138,2.48541037,12.3571602,28.9802643370802,17.2850704193115,-21.6758549204557
261723,G261723-native-424.png,G261723-invert-424.png,VST 2.6m,GAMA-KiDS,215.88071803,2.51388515,6.32580102,11.6689179162468,19.1604347229004,-19.155280021177
261724,G261724-native-424.png,G261724-invert-424.png,VST 2.6m,GAMA-KiDS,215.88548864,2.53861956,15.00668928,30.3038256426663,17.9333000183105,-20.6214839669533
261725,G261725-native-424.png,G261725-invert-424.png,VST 2.6m,GAMA-KiDS,215.92901502,2.45840916,8.95138992,17.4814414774681,17.1105823516846,-21.3553029644039
